Time,co2,temp,hum,lux,rad
135300,400,15.96367097,58.79744258,1.67,0.013193
135600,400,15.94983807,58.7743022,1.67,0.013193
135900,400,15.93561878,58.75582213,2.569166667,0.020296417
136200,400,15.92294507,58.73159978,3.33,0.026307
136500,400,15.91367162,58.70639749,4.17,0.032943
136800,400,15.90331627,58.68712917,5.415,0.0427785
137100,400,15.90022513,58.66735282,7.575454545,0.059846091
137400,400,15.89396555,58.62876613,8.33,0.065807
137700,400,15.89466106,58.59884108,9.245454545,0.073039091
138000,400,15.89694078,58.58997101,10.2075,0.08063925
138300,400,15.91459897,58.6159344,15.07545455,0.119096091
138600,400,15.93476871,58.61256023,19.39636364,0.153231273
138900,400,15.9526201,58.52412625,23.125,0.1826875
139200,400,15.9730217,58.43251097,33.02909091,0.260929818
139500,400,15.98874793,58.35264266,35.07,0.277053
139800,400,15.99527799,58.2170542,42.42454545,0.335153909
140100,400,15.98874793,58.12175999,95.9,0.75761
140400,400,15.99620533,58.10734073,111.3645455,0.879779909
140700,400,16.01595006,58.06779831,122.7791667,0.969955417
141000,400,16.04674567,58.00387108,132.9527273,1.050326546
141300,400,16.05462812,57.9670386,136.9466667,1.081878667
141600,400,16.06853831,57.92237621,157.3472727,1.243043454
141900,400,16.0773481,57.87925639,177.8018182,1.404634364
142200,400,16.08353041,57.84634805,191.11,1.509769
142500,400,16.08847625,57.828141,211.5909091,1.671568182
142800,400,16.08395544,57.80277166,231.5275,1.82906725
143100,400,16.08198483,57.79193388,251.44,1.986376
143400,400,16.08183027,57.8045335,279.9308333,2.211453583
143700,400,16.07317504,57.81785574,294.0927273,2.323332546
144000,400,16.07545477,57.84135515,305.2783333,2.411698833
144300,400,16.08662156,57.87713552,307.9527273,2.432826546
144600,400,16.09357666,57.91235192,308.4845455,2.437027909
144900,400,16.10053176,57.93985343,304.0975,2.40237025
145200,400,16.10285013,57.96740319,296.5909091,2.343068182
145500,400,16.10520713,58.0026704,273.0533333,2.157121333
145800,400,16.10006809,58.05328821,231.6672727,1.830171454
146100,400.3636364,16.09373122,58.13340398,219.0958333,1.730857083
146400,400.8333333,16.07688443,58.18479988,202.8018182,1.602134364
146700,401,16.05845342,58.18190899,211.5154545,1.670972091
147000,401,16.05277342,58.17360321,256.3891667,2.025474417
147300,401,16.04906404,58.19923526,251.8954545,1.989974091
147600,401,16.05335302,58.26699999,250.1383333,1.976092833
147900,400.5833333,15.96745767,57.59665298,253.4836364,2.002520728
148200,400,15.86633842,57.7371153,274.5825,2.16920175
148500,400.25,15.93639157,57.64088596,287.1209091,2.268255182
148800,400,16.00702437,57.57588043,350.07,2.765553
149100,400,16.06807464,57.5201358,367.9545455,2.906840909
149400,401,16.11795815,57.50787223,353.5627273,2.793145546
149700,401,16.15339053,57.53141727,341.3191667,2.696421417
150000,401,16.17425584,57.58545851,430.6063636,3.401790272
150300,401,16.18213829,57.64889204,350.7641667,2.771036917
150600,401,16.18213829,57.72750174,321.9709091,2.543570182
150900,401,16.18298836,57.79041777,349.8608333,2.763900583
151200,401,16.1997579,57.79861726,374.2427273,2.956517546
151500,401,16.21486594,57.81037141,363.4016667,2.870873167
151800,401,16.20949505,57.84509804,355.9872727,2.812299454
152100,400.5454545,16.21784118,57.81282132,525.8333333,4.154083333
152400,401,16.25215305,57.79787667,545.5309091,4.309694182
152700,401,16.30222987,57.77779648,497.0454545,3.926659091
153000,402.4545455,16.39465567,57.66787441,525.0008333,4.147506583
153300,403.4166667,16.49743697,57.78076016,502.8790909,3.972744818
153600,404,16.54299309,57.32023411,338.9583333,2.677770833
153900,401.6666667,16.24844367,55.40332273,607.1963636,4.796851272
154200,402.8181818,16.28627175,55.64270855,413.7881818,3.268926636
154500,403.7272727,16.40655666,55.83044688,447.2233333,3.533064333
154800,404,16.51737502,56.18544221,469.3945455,3.708216909
155100,403.5454545,16.53406733,56.67372789,407.8483333,3.222001833
155400,403,16.56791565,57.30261919,361.5918182,2.856575364
155700,403,16.61439915,58.06605952,493.6116667,3.899532167
156000,403,16.6439585,58.64621966,596.8190909,4.714870818
156300,403,16.67900469,58.88333166,562.7091667,4.445402417
156600,403,16.71675568,58.84150861,590.5309091,4.665194182
156900,403,16.75933664,58.24458464,579.47,4.577813
157200,401.0909091,16.46729823,51.53510858,819.0983333,6.470876833
157500,400,15.94983814,48.33634014,702.1981818,5.547365636
157800,400,15.94539457,48.70930693,658.6108333,5.203025583
158100,400,16.17796525,49.10469581,613.1063636,4.843540272
158400,400,16.35725258,49.80893941,461.9433333,3.649352333
158700,400,16.49001817,50.52434498,452.2736364,3.572961728
159000,400,16.58719684,51.26471469,490.4158333,3.874285083
159300,400,16.65415937,52.06572876,421.6663636,3.331164272
159600,400,16.69913597,52.90947156,370.2263636,2.924788272
159900,400,16.73298436,53.8544166,406.9441667,3.214858917
160200,400,16.75895025,54.69769485,414.3181818,3.273113636
160500,400,16.77633812,55.16108591,410.4866667,3.242844667
160800,400,16.79975381,55.29260079,570.6790909,4.508364818
161100,400,16.83669341,55.3934914,698.7508333,5.520131583
161400,400,16.85354034,55.5568519,582.9554545,4.605348091
161700,400,16.84221889,55.73911477,382.3608333,3.020650583
162000,400,16.84102106,55.92505258,474.7718182,3.750697364
